"Province","ProgramGroup","ProgramType","ProgramDetail","Date","Value"
"Ontario","Economic","Worker Program","Agri-Food Pilot",2019-08-01,0
"Ontario","Economic","Worker Program","Canadian Experience",2019-08-01,NA
"Ontario","Economic","Worker Program","Caregiver",2019-08-01,390
"Ontario","Economic","Worker Program","Rural and Northern Immigration",2019-08-01,0
"Ontario","Economic","Worker Program","Skilled Trade",2019-08-01,20
"Ontario","Economic","Worker Program","Skilled Worker",2019-08-01,NA
"Ontario","Economic","Business","Entrepreneur",2019-08-01,0
"Ontario","Economic","Business","Investor",2019-08-01,0
"Ontario","Economic","Business","Self-Employed",2019-08-01,40
"Ontario","Economic","Business","Start-up Business",2019-08-01,30
"Ontario","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-08-01,NA
"Ontario","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-08-01,0
"Ontario","Sponsored Family","Sponsored Family","Sponsored Children",2019-08-01,140
"Ontario","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-08-01,20
"Ontario","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-08-01,545
"Ontario","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-08-01,NA
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-08-01,20
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-08-01,350
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-08-01,520
"Manitoba","Economic","Worker Program","Agri-Food Pilot",2019-08-01,0
"Manitoba","Economic","Worker Program","Canadian Experience",2019-08-01,65
"Manitoba","Economic","Worker Program","Caregiver",2019-08-01,5
"Manitoba","Economic","Worker Program","Rural and Northern Immigration",2019-08-01,0
"Manitoba","Economic","Worker Program","Skilled Trade",2019-08-01,0
"Manitoba","Economic","Worker Program","Skilled Worker",2019-08-01,30
"Manitoba","Economic","Business","Entrepreneur",2019-08-01,0
"Manitoba","Economic","Business","Self-Employed",2019-08-01,0
"Manitoba","Economic","Business","Start-up Business",2019-08-01,0
"Manitoba","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-08-01,NA
"Manitoba","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-08-01,0
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Children",2019-08-01,15
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-08-01,0
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-08-01,40
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-08-01,145
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-08-01,0
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-08-01,35
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-08-01,55
"Saskatchewan","Economic","Worker Program","Agri-Food Pilot",2019-08-01,0
"Saskatchewan","Economic","Worker Program","Canadian Experience",2019-08-01,65
"Saskatchewan","Economic","Worker Program","Caregiver",2019-08-01,10
"Saskatchewan","Economic","Worker Program","Rural and Northern Immigration",2019-08-01,0
"Saskatchewan","Economic","Worker Program","Skilled Trade",2019-08-01,5
"Saskatchewan","Economic","Worker Program","Skilled Worker",2019-08-01,55
"Saskatchewan","Economic","Business","Self-Employed",2019-08-01,0
"Saskatchewan","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-08-01,NA
"Saskatchewan","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-08-01,0
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Children",2019-08-01,15
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-08-01,0
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-08-01,50
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-08-01,135
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-08-01,0
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-08-01,5
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-08-01,50
"Alberta","Economic","Worker Program","Agri-Food Pilot",2019-08-01,0
"Alberta","Economic","Worker Program","Canadian Experience",2019-08-01,230
"Alberta","Economic","Worker Program","Caregiver",2019-08-01,135
"Alberta","Economic","Worker Program","Rural and Northern Immigration",2019-08-01,0
"Alberta","Economic","Worker Program","Skilled Trade",2019-08-01,15
"Alberta","Economic","Worker Program","Skilled Worker",2019-08-01,530
"Alberta","Economic","Business","Entrepreneur",2019-08-01,0
"Alberta","Economic","Business","Investor",2019-08-01,0
"Alberta","Economic","Business","Self-Employed",2019-08-01,0
"Alberta","Economic","Business","Start-up Business",2019-08-01,0
"Alberta","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-08-01,NA
"Alberta","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-08-01,0
"Alberta","Sponsored Family","Sponsored Family","Sponsored Children",2019-08-01,85
"Alberta","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-08-01,0
"Alberta","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-08-01,250
"Alberta","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-08-01,755
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-08-01,10
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-08-01,60
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-08-01,150
"British Columbia","Economic","Worker Program","Agri-Food Pilot",2019-08-01,0
"British Columbia","Economic","Worker Program","Canadian Experience",2019-08-01,825
"British Columbia","Economic","Worker Program","Caregiver",2019-08-01,130
"British Columbia","Economic","Worker Program","Rural and Northern Immigration",2019-08-01,0
"British Columbia","Economic","Worker Program","Skilled Trade",2019-08-01,60
"British Columbia","Economic","Worker Program","Skilled Worker",2019-08-01,715
"British Columbia","Economic","Business","Entrepreneur",2019-08-01,0
"British Columbia","Economic","Business","Investor",2019-08-01,0
"British Columbia","Economic","Business","Self-Employed",2019-08-01,20
"British Columbia","Economic","Business","Start-up Business",2019-08-01,20
"British Columbia","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-08-01,NA
"British Columbia","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-08-01,0
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Children",2019-08-01,50
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-08-01,0
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-08-01,205
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-08-01,NA
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-08-01,0
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-08-01,45
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-08-01,90
"Yukon","Economic","Worker Program","Canadian Experience",2019-08-01,0
"Yukon","Economic","Worker Program","Caregiver",2019-08-01,0
"Yukon","Economic","Worker Program","Skilled Trade",2019-08-01,0
"Yukon","Economic","Worker Program","Skilled Worker",2019-08-01,0
"Yukon","Economic","Business","Self-Employed",2019-08-01,0
"Yukon","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-08-01,35
"Yukon","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-08-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Children",2019-08-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-08-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-08-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-08-01,0
"Yukon","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-08-01,0
"Yukon","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-08-01,0
"Northwest Territories","Economic","Worker Program","Canadian Experience",2019-08-01,0
"Northwest Territories","Economic","Worker Program","Caregiver",2019-08-01,0
"Northwest Territories","Economic","Worker Program","Skilled Trade",2019-08-01,0
"Northwest Territories","Economic","Worker Program","Skilled Worker",2019-08-01,0
"Northwest Territories","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-08-01,10
"Northwest Territories","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-08-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Children",2019-08-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-08-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-08-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-08-01,0
"Northwest Territories","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-08-01,0
"Northwest Territories","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-08-01,0
"Nunavut","Economic","Worker Program","Canadian Experience",2019-08-01,0
"Nunavut","Economic","Worker Program","Caregiver",2019-08-01,0
"Nunavut","Economic","Worker Program","Skilled Trade",2019-08-01,0
"Nunavut","Economic","Worker Program","Skilled Worker",2019-08-01,0
"Nunavut","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-08-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Children",2019-08-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-08-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-08-01,0
"Nunavut","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-08-01,5
"Nunavut","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-08-01,0
"Newfoundland and Labrador","Economic","Worker Program","Atlantic Immigration Pilot Programs",2019-09-01,25
"Newfoundland and Labrador","Economic","Worker Program","Canadian Experience",2019-09-01,15
"Newfoundland and Labrador","Economic","Worker Program","Caregiver",2019-09-01,0
"Newfoundland and Labrador","Economic","Worker Program","Skilled Trade",2019-09-01,0
"Newfoundland and Labrador","Economic","Worker Program","Skilled Worker",2019-09-01,10
"Newfoundland and Labrador","Economic","Business","Self-Employed",2019-09-01,0
"Newfoundland and Labrador","Economic","Business","Start-up Business",2019-09-01,0
"Newfoundland and Labrador","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,100
"Newfoundland and Labrador","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-09-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,0
"Newfoundland and Labrador","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,10
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,0
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-09-01,30
"Newfoundland and Labrador","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,5
"Prince Edward Island","Economic","Worker Program","Agri-Food Pilot",2019-09-01,0
"Prince Edward Island","Economic","Worker Program","Atlantic Immigration Pilot Programs",2019-09-01,45
"Prince Edward Island","Economic","Worker Program","Canadian Experience",2019-09-01,10
"Prince Edward Island","Economic","Worker Program","Caregiver",2019-09-01,0
"Prince Edward Island","Economic","Worker Program","Skilled Trade",2019-09-01,0
"Prince Edward Island","Economic","Worker Program","Skilled Worker",2019-09-01,0
"Prince Edward Island","Economic","Business","Self-Employed",2019-09-01,0
"Prince Edward Island","Economic","Business","Start-up Business",2019-09-01,0
"Prince Edward Island","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,190
"Prince Edward Island","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-09-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,0
"Prince Edward Island","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,5
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,0
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-09-01,0
"Prince Edward Island","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,0
"Nova Scotia","Economic","Worker Program","Atlantic Immigration Pilot Programs",2019-09-01,145
"Nova Scotia","Economic","Worker Program","Canadian Experience",2019-09-01,40
"Nova Scotia","Economic","Worker Program","Caregiver",2019-09-01,0
"Nova Scotia","Economic","Worker Program","Skilled Trade",2019-09-01,0
"Nova Scotia","Economic","Worker Program","Skilled Worker",2019-09-01,40
"Nova Scotia","Economic","Business","Self-Employed",2019-09-01,0
"Nova Scotia","Economic","Business","Start-up Business",2019-09-01,0
"Nova Scotia","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,400
"Nova Scotia","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-09-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,5
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,0
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,10
"Nova Scotia","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,60
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,15
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-09-01,40
"Nova Scotia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,25
"New Brunswick","Economic","Worker Program","Atlantic Immigration Pilot Programs",2019-09-01,185
"New Brunswick","Economic","Worker Program","Canadian Experience",2019-09-01,10
"New Brunswick","Economic","Worker Program","Caregiver",2019-09-01,0
"New Brunswick","Economic","Worker Program","Skilled Trade",2019-09-01,0
"New Brunswick","Economic","Worker Program","Skilled Worker",2019-09-01,35
"New Brunswick","Economic","Business","Self-Employed",2019-09-01,0
"New Brunswick","Economic","Business","Start-up Business",2019-09-01,0
"New Brunswick","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,305
"New Brunswick","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-09-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,0
"New Brunswick","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,25
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,0
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-09-01,45
"New Brunswick","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,15
"Quebec","Economic","Worker Program","Canadian Experience",2019-09-01,0
"Quebec","Economic","Worker Program","Caregiver",2019-09-01,45
"Quebec","Economic","Worker Program","Skilled Worker",2019-09-01,NA
"Quebec","Economic","Business","Entrepreneur",2019-09-01,0
"Quebec","Economic","Business","Investor",2019-09-01,215
"Quebec","Economic","Business","Self-Employed",2019-09-01,5
"Quebec","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,0
"Quebec","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,90
"Quebec","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,0
"Quebec","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,145
"Quebec","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,660
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,0
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-09-01,155
"Quebec","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,245
"Ontario","Economic","Worker Program","Agri-Food Pilot",2019-09-01,0
"Ontario","Economic","Worker Program","Canadian Experience",2019-09-01,NA
"Ontario","Economic","Worker Program","Caregiver",2019-09-01,480
"Ontario","Economic","Worker Program","Rural and Northern Immigration",2019-09-01,0
"Ontario","Economic","Worker Program","Skilled Trade",2019-09-01,30
"Ontario","Economic","Worker Program","Skilled Worker",2019-09-01,NA
"Ontario","Economic","Business","Entrepreneur",2019-09-01,0
"Ontario","Economic","Business","Investor",2019-09-01,0
"Ontario","Economic","Business","Self-Employed",2019-09-01,35
"Ontario","Economic","Business","Start-up Business",2019-09-01,15
"Ontario","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,NA
"Ontario","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-09-01,0
"Ontario","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,225
"Ontario","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,20
"Ontario","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,740
"Ontario","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,NA
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,55
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-09-01,565
"Ontario","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,NA
"Manitoba","Economic","Worker Program","Agri-Food Pilot",2019-09-01,0
"Manitoba","Economic","Worker Program","Canadian Experience",2019-09-01,40
"Manitoba","Economic","Worker Program","Caregiver",2019-09-01,5
"Manitoba","Economic","Worker Program","Rural and Northern Immigration",2019-09-01,0
"Manitoba","Economic","Worker Program","Skilled Trade",2019-09-01,0
"Manitoba","Economic","Worker Program","Skilled Worker",2019-09-01,80
"Manitoba","Economic","Business","Entrepreneur",2019-09-01,0
"Manitoba","Economic","Business","Self-Employed",2019-09-01,0
"Manitoba","Economic","Business","Start-up Business",2019-09-01,0
"Manitoba","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,NA
"Manitoba","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-09-01,0
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,20
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,0
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,70
"Manitoba","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,220
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,30
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-09-01,105
"Manitoba","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,170
"Saskatchewan","Economic","Worker Program","Agri-Food Pilot",2019-09-01,0
"Saskatchewan","Economic","Worker Program","Canadian Experience",2019-09-01,35
"Saskatchewan","Economic","Worker Program","Caregiver",2019-09-01,5
"Saskatchewan","Economic","Worker Program","Rural and Northern Immigration",2019-09-01,0
"Saskatchewan","Economic","Worker Program","Skilled Trade",2019-09-01,0
"Saskatchewan","Economic","Worker Program","Skilled Worker",2019-09-01,60
"Saskatchewan","Economic","Business","Self-Employed",2019-09-01,0
"Saskatchewan","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,NA
"Saskatchewan","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-09-01,0
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,5
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,0
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,45
"Saskatchewan","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,140
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,15
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-09-01,140
"Saskatchewan","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,60
"Alberta","Economic","Worker Program","Agri-Food Pilot",2019-09-01,0
"Alberta","Economic","Worker Program","Canadian Experience",2019-09-01,200
"Alberta","Economic","Worker Program","Caregiver",2019-09-01,125
"Alberta","Economic","Worker Program","Rural and Northern Immigration",2019-09-01,0
"Alberta","Economic","Worker Program","Skilled Trade",2019-09-01,30
"Alberta","Economic","Worker Program","Skilled Worker",2019-09-01,555
"Alberta","Economic","Business","Entrepreneur",2019-09-01,0
"Alberta","Economic","Business","Investor",2019-09-01,0
"Alberta","Economic","Business","Self-Employed",2019-09-01,0
"Alberta","Economic","Business","Start-up Business",2019-09-01,0
"Alberta","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,NA
"Alberta","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-09-01,0
"Alberta","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,90
"Alberta","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,15
"Alberta","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,340
"Alberta","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,800
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,15
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-09-01,235
"Alberta","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,615
"British Columbia","Economic","Worker Program","Agri-Food Pilot",2019-09-01,0
"British Columbia","Economic","Worker Program","Canadian Experience",2019-09-01,695
"British Columbia","Economic","Worker Program","Caregiver",2019-09-01,240
"British Columbia","Economic","Worker Program","Rural and Northern Immigration",2019-09-01,0
"British Columbia","Economic","Worker Program","Skilled Trade",2019-09-01,60
"British Columbia","Economic","Worker Program","Skilled Worker",2019-09-01,755
"British Columbia","Economic","Business","Entrepreneur",2019-09-01,0
"British Columbia","Economic","Business","Investor",2019-09-01,0
"British Columbia","Economic","Business","Self-Employed",2019-09-01,30
"British Columbia","Economic","Business","Start-up Business",2019-09-01,15
"British Columbia","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,NA
"British Columbia","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-09-01,0
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,45
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,0
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,235
"British Columbia","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,NA
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,10
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Government-Assisted Refugee",2019-09-01,85
"British Columbia","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,270
"Yukon","Economic","Worker Program","Canadian Experience",2019-09-01,0
"Yukon","Economic","Worker Program","Caregiver",2019-09-01,0
"Yukon","Economic","Worker Program","Skilled Trade",2019-09-01,0
"Yukon","Economic","Worker Program","Skilled Worker",2019-09-01,0
"Yukon","Economic","Business","Self-Employed",2019-09-01,0
"Yukon","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,30
"Yukon","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-09-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,0
"Yukon","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,10
"Yukon","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,0
"Yukon","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,0
"Northwest Territories","Economic","Worker Program","Canadian Experience",2019-09-01,0
"Northwest Territories","Economic","Worker Program","Caregiver",2019-09-01,0
"Northwest Territories","Economic","Worker Program","Skilled Trade",2019-09-01,0
"Northwest Territories","Economic","Worker Program","Skilled Worker",2019-09-01,0
"Northwest Territories","Economic","Provincial Nominee Program","Provincial Nominee Program",2019-09-01,10
"Northwest Territories","Economic","Temporary Resident to Permanent Resident Pathway","Temporary Resident to Permanent Resident Pathway",2019-09-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Children",2019-09-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Extended Family Member",2019-09-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Parent or Grandparent",2019-09-01,0
"Northwest Territories","Sponsored Family","Sponsored Family","Sponsored Spouse or Partner",2019-09-01,5
"Northwest Territories","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Blended Sponsorship Refugee",2019-09-01,0
"Northwest Territories","Resettled Refugee &amp; Protected Person in Canada","Resettled Refugee","Privately Sponsored Refugee",2019-09-01,0
"Nunavut","Economic","Worker Program","Canadian Experience",2019-09-01,0
"Nunavut","Economic","Worker Program","Caregiver",2019-09-01,0
